p_peaks,p_onsets,p_offsets,q_peaks,r_onsets,r_offsets,s_peaks,t_peaks,t_onsets,t_offsets,sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0.101,"[nan, 838, 1498, 2168, 2822, 3488, 4160, 4824, 5468]","[188, 886, 1574, 2250, 2874, 3588, 4268, 4932, 5558]",-0.135,"[266, 912, 1586, 2266, 2886, 3596, 4194, 4854, nan]","[352, 1014, 1726, 2368, 3044, 3712, 4390, 5028, 5830]",-0.223,0.174,"[474, 1046, 1808, 2482, 3142, 3806, 4470, 5116, 5766]","[566, 1078, 1914, 2566, 3234, 3904, 4572, 5240, nan]",0,II,72.412,[ 153  490  824 1154 1485 1819 2154 2485 2805],83.000,134.250,314.250,663.000,71.778
0.124,"[556, 1480, 2534, 3538, 4568, 5554]","[652, 1574, 2626, 3648, 4664, 5640]",-0.152,"[610, 1540, 2588, 3604, 4622, nan]","[778, nan, 2746, 3768, 4780, nan]",-0.159,0.419,"[922, 1830, 2868, 3886, 4922, nan]","[1030, 1946, 3004, 4018, 5036, nan]",1,II,48.178,[ 357  818 1345 1852 2361 2852],95.667,162.000,414.000,998.000,131.500
0.037,"[232, 932, 1644, 2278, 2942, 3592, 4180, 4742, 5364]","[304, 996, 1708, 2346, 3004, 3656, 4242, 4808, 5432]",-0.221,"[336, 1034, 1746, 2382, 3038, 3690, 4264, 4836, nan]","[420, 1118, 1832, 2468, 3124, 3776, 4362, 4928, 5550]",-0.273,0.578,"[524, 1220, 1930, 2566, 3228, 3878, 4460, 5024, 5650]","[616, 1314, 2028, 2664, 3322, 3972, 4556, 5118, 5742]",2,II,75.278,[ 190  539  894 1213 1542 1867 2160 2442 2753],65.556,87.750,283.000,640.750,100.222
0.177,"[550, 1300, 2088, 2914, 3702, 4494, 5322]","[634, 1386, 2180, 2996, 3804, 4586, 5408]",-0.241,"[658, 1418, 2198, 3028, 3826, 4618, nan]","[740, 1514, 2308, 3134, 3910, 4728, 5530]",-0.201,0.174,"[880, 1622, 2458, 3284, 4064, 4850, 5692]","[992, 1744, 2552, 3348, 4166, 4904, 5782]",3,II,60.362,[ 352  730 1128 1536 1935 2330 2739],89.143,98.000,326.667,795.667,140.857
0.173,"[nan, 632, nan, nan, 4782]","[nan, 676, 1944, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan, 4730, nan]",-5.897,0.237,"[nan, nan, nan, 4714, nan]","[nan, nan, nan, nan, nan]",4,II,57.845,[ 210  514  986 2344 2581],44.000,,,1185.500,-16.000
-0.036,"[300, 1040, 1908, 2778, 3520, 4396, 5242]","[402, 1148, 2028, 2830, 3618, 4520, 5366]",-0.117,"[332, 1114, 2002, 2802, 3566, 4466, nan]","[540, 1300, 2168, 2982, 3768, 4660, 5538]",-0.069,0.262,"[674, 1442, 2314, 3090, 3900, 4794, 5618]","[806, 1562, 2432, 3246, 4030, 4924, 5762]",5,II,58.262,[ 250  630 1064 1471 1864 2310 2728],104.000,189.333,453.000,826.000,125.143
0.228,"[382, 970, 1584, 2238, 2756, 3408, 4090, 4706, 5372]","[452, 1046, 1652, 2310, 2796, 3436, 4154, 4768, 5438]",-0.053,"[420, 1008, 1674, 2278, 2774, 3454, 4180, 4742, nan]","[564, 1154, 1764, 2414, 2970, 3624, 4266, 4884, 5548]",-0.190,0.110,"[552, 1326, 1750, 2400, 2992, 3604, 4444, 4870, 5574]","[658, 1398, 1822, 2448, 3040, 3652, 4512, 4960, 5612]",6,II,77.390,[ 261  556  860 1185 1460 1766 2112 2420 2752],60.667,138.750,245.000,622.750,36.000
0.022,"[nan, 990, 1910, 2782, 3678, 4568, 5426]","[nan, 1030, 1956, 2828, 3722, 4606, 5470]",-0.092,"[nan, 1112, 2032, 2908, 3802, 4688, nan]","[330, 1218, 2136, 3012, 3910, 4794, 5658]",-0.336,0.009,"[nan, 1258, 2114, 2994, 3890, 4838, 5638]","[398, 1334, 2206, 3204, 3972, 4912, 5770]",7,II,54.090,[ 137  581 1040 1479 1926 2368 2800],43.000,105.600,217.200,887.667,0.667
0.137,"[1032, 2050, 3064, 4080, 5082]","[1122, 2136, 3150, 4168, 5168]",-0.127,"[1090, 2102, 3118, 4132, nan]","[1240, 2252, 3262, 4284, 5284]",-0.109,0.406,"[1360, 2376, 3384, 4408, 5418]","[1492, 2504, 3516, 4534, 5528]",8,II,47.479,[ 597 1103 1611 2119 2619],87.200,149.000,401.000,1011.000,124.800
-0.026,"[424, 1216, 1998, 2780, 3550, 4308, 5050]","[518, 1312, 2088, 2878, 3646, 4400, 5152]",-0.229,"[494, 1344, 2120, 2834, 3684, 4352, nan]","[640, 1434, 2210, 2992, 3774, 4520, 5266]",-0.375,0.781,"[744, 1548, 2304, 3106, 3872, 4614, 5384]","[862, 1660, 2436, 3218, 3994, 4746, 5492]",9,II,62.284,[ 298  695 1082 1474 1863 2237 2611],95.429,123.667,348.000,771.000,105.143
0.197,"[454, 1084, 1750, 2440, 3160, 3846, 4492, 5156]","[532, 1174, 1826, 2542, 3250, 3930, 4578, 5246]",-0.133,"[550, 1142, 1794, 2506, 3212, 3954, 4546, nan]","[636, 1284, 1930, 2640, 3350, 4070, 4682, 5366]",-0.145,0.051,"[770, 1306, 2104, 2806, 3418, 4216, 4812, 5534]","[828, 1356, 2178, 2910, 3590, 4250, 4882, 5568]",10,II,71.372,[ 299  622  947 1303 1656 2000 2323 2656],87.000,126.857,327.143,673.429,126.000
0.073,"[642, 1328, 2058, 2804, 3540, 4312, 5006]","[722, 1376, 2194, 2848, 3610, 4384, 5052]",-0.071,"[678, 1414, 2182, 2922, 3624, 4396, nan]","[818, 1534, 2270, 3008, 3750, 4484, 5212]",-0.154,0.001,"[800, 1584, 2290, 3140, 3864, 4464, 5194]","[834, 1638, 2324, 3258, 3992, 4530, 5266]",11,II,65.547,[ 384  747 1112 1481 1851 2217 2581],70.857,108.000,226.667,732.333,37.143
0.164,"[432, 1190, 1948, 2692, 3464, 4214, 4976]","[498, 1304, 2000, 2766, 3568, 4274, 5082]",-0.000,"[512, 1230, 2060, 2814, 3542, 4294, nan]","[678, 1434, 2186, 2944, 3704, 4452, 5216]",-1.422,0.168,"[830, 1586, 2214, 2894, 3768, 4492, 5280]","[900, 1694, 2266, 2998, 3792, 4534, 5306]",12,II,63.440,[ 290  670 1044 1422 1802 2177 2560],82.286,157.667,288.667,756.667,64.286
0.144,"[258, 884, 1488, 2112, 2714, 3318, 3908, 4510, 5114]","[364, 978, 1588, 2216, 2824, 3412, 4006, 4620, 5208]",-0.187,"[328, 928, 1548, 2168, 2778, 3374, 3966, 4566, nan]","[462, 1088, 1694, 2312, 2922, 3522, 4130, 4714, 5338]",-0.196,0.413,"[536, 1158, 1752, 2388, 3000, 3586, 4188, 4786, 5396]","[652, 1258, 1870, 2494, 3108, 3696, 4292, 4902, 5502]",13,II,79.323,[ 212  519  822 1133 1438 1735 2032 2334 2633],101.111,148.500,327.000,605.250,67.556
0.134,"[766, 1538, 2342, 3126, 3920, 4676, 4814, 5436]","[814, 1620, 2378, 3208, 3950, 4734, 4868, 5462]",-0.144,"[828, 1654, 2430, 3184, 3980, nan, 4906, nan]","[984, 1768, 2554, 3340, 4116, 4900, 5204, 5746]",-0.165,0.534,"[1126, 1956, 2674, 3456, 4286, 5052, 5180, 5814]","[1236, 2010, 2798, 3576, 4362, 5156, 5250, nan]",14,II,82.305,[ 466  859 1247 1641 2033 2420 2550 2803],52.000,164.000,375.000,667.714,116.500
