 sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
0,II,72.412,[ 153  490  824 1154 1485 1819 2154 2485 2805],83.000,134.250,314.250,663.000,71.778
1,II,48.178,[ 357  818 1345 1852 2361 2852],95.667,162.000,414.000,998.000,131.500
2,II,75.278,[ 190  539  894 1213 1542 1867 2160 2442 2753],65.556,87.750,283.000,640.750,100.222
3,II,60.362,[ 352  730 1128 1536 1935 2330 2739],89.143,98.000,326.667,795.667,140.857
4,II,57.845,[ 210  514  986 2344 2581],44.000,,,1185.500,-16.000
5,II,58.262,[ 250  630 1064 1471 1864 2310 2728],104.000,189.333,453.000,826.000,125.143
6,II,77.390,[ 261  556  860 1185 1460 1766 2112 2420 2752],60.667,138.750,245.000,622.750,36.000
7,II,54.090,[ 137  581 1040 1479 1926 2368 2800],43.000,105.600,217.200,887.667,0.667
8,II,47.479,[ 597 1103 1611 2119 2619],87.200,149.000,401.000,1011.000,124.800
9,II,62.284,[ 298  695 1082 1474 1863 2237 2611],95.429,123.667,348.000,771.000,105.143
10,II,71.372,[ 299  622  947 1303 1656 2000 2323 2656],87.000,126.857,327.143,673.429,126.000
11,II,65.547,[ 384  747 1112 1481 1851 2217 2581],70.857,108.000,226.667,732.333,37.143
12,II,63.440,[ 290  670 1044 1422 1802 2177 2560],82.286,157.667,288.667,756.667,64.286
13,II,79.323,[ 212  519  822 1133 1438 1735 2032 2334 2633],101.111,148.500,327.000,605.250,67.556
14,II,82.305,[ 466  859 1247 1641 2033 2420 2550 2803],52.000,164.000,375.000,667.714,116.500
15,II,75.550,[ 171  496  820 1140 1461 1790 2104 2409 2714],76.222,138.750,280.500,635.750,102.889
16,II,63.207,[ 226  605  983 1365 1748 2129 2506 2884],76.750,111.143,392.000,759.429,146.571
17,II,65.139,[ 419  775 1127 1507 1897 2265 2632],58.286,78.000,318.000,737.667,125.714
18,II,54.429,[ 285  750 1209 1651 2076 2493],103.333,160.000,432.400,883.200,121.000
19,II,78.383,[ 254  564  876 1162 1479 1790 2100 2413 2706],77.333,271.200,329.250,613.000,-50.667
20,II,96.179,[ 348  603  857 1110 1364 1616 1864 2110 2356 2599 2844],91.273,139.400,311.800,499.200,55.818
21,II,74.810,[ 284  613  943 1262 1570 1872 2182 2519 2854],71.778,133.250,348.250,642.500,116.000
22,II,60.893,[ 495  893 1291 1686 2082 2471 2860],90.857,143.333,388.333,788.333,100.857
23,II,76.668,[ 132  445  762 1070 1376 1697 2018 2328 2637],70.750,184.000,357.000,626.250,66.000
24,II,63.609,[ 467  848 1225 1597 1975 2357 2731],80.286,157.333,214.667,754.667,8.857
25,II,65.328,[ 327  699 1062 1427 1795 2157 2523 2899],57.000,138.000,223.429,734.857,43.429
26,II,65.483,[ 200  570  939 1303 1659 2024 2396 2766],87.500,117.714,382.286,733.143,184.750
27,II,64.878,[ 435  804 1136 1463 1879 2301 2673],64.000,188.667,376.000,746.000,73.143
28,II,130.322,[ 265  514  806  999 1174 1422 1624 1802 1967 2160 2313 2457 2601 2762],67.111,108.000,182.000,384.154,17.429
29,II,95.962,[ 138  392  646  904 1160 1417 1674 1932 2185 2441 2699 2901],85.500,149.091,342.909,502.364,103.818
30,II,80.788,[ 292  599  910 1217 1513 1809 2103 2392 2671],57.556,117.250,341.750,594.750,127.333
31,II,70.386,[ 193  531  870 1212 1558 1897 2238 2583 2921],66.667,145.750,345.000,682.000,145.000
32,II,57.934,[ 234  645 1055 1476 1900 2310 2720],98.571,144.000,362.667,828.667,129.714
33,II,79.780,[ 145  454  691 1062 1369 1676 1923 2225 2604],68.750,141.000,319.250,614.750,97.333
34,II,76.737,[ 414  717 1022 1338 1645 1950 2276 2605 2918],89.111,176.250,362.000,626.000,77.500
35,II,58.718,[ 257  878 1298 1712 2124 2528 2816],102.667,178.000,462.800,853.000,137.200
36,II,55.216,[ 519  934 1385 1814 2273 2695],78.000,147.000,354.500,870.400,98.333
37,II,52.181,[ 714 1213 1664 2113 2557],41.600,91.500,205.500,921.500,90.800
38,II,72.988,[ 371  702 1034 1367 1688 2016 2345 2673],75.250,110.857,282.286,657.714,119.000
39,II,74.946,[ 143  459  776 1094 1415 1737 2061 2382 2705],92.444,113.750,304.750,640.500,80.667
40,II,93.313,[ 143  401  658  914 1171 1428 1685 1941 2199 2457 2715],74.182,136.400,238.000,514.400,39.636
41,II,62.043,[ 379  775 1154 1551 1942 2315 2701],88.857,130.000,377.333,774.000,119.714
42,II,82.264,[ 391  680  981 1278 1560 1844 2136 2436 2726],70.000,157.750,354.000,583.750,87.111
43,II,60.062,[ 265  729 1079 1460 1923 2280 2689],57.429,198.667,285.600,808.000,-3.500
44,II,61.272,[ 268  982 1338 1699 2051 2401 2760],87.429,73.667,131.333,830.667,0.000
45,II,79.879,[ 331  627  921 1219 1530 1803 2089 2419 2742],68.667,98.000,299.000,602.750,88.667
46,II,71.359,[ 388  705 1062 1412 1748 2077 2411 2745],79.000,130.286,358.571,673.429,115.250
47,II,51.797,[ 506  976 1428 1900 2310 2835],80.000,160.800,365.600,931.600,101.200
48,II,138.824,"[ 243  408  582  829 1023 1162 1324 1474 1674 1845 1998 2157 2320 2476
 2705 2895]",73.333,84.000,134.000,353.600,-9.000
49,II,70.456,[ 336  693  924 1308 1675 1981 2409 2797],85.000,114.286,342.571,703.143,122.500
50,II,67.612,[ 268  627  980 1327 1684 2041 2398 2753],86.250,138.571,393.714,710.000,105.250
51,II,83.008,[ 270  551  840 1132 1425 1707 1992 2280 2578 2873],81.000,106.000,339.333,578.444,102.444
52,II,72.642,[ 326  663 1005 1340 1669 1996 2326 2640],77.250,126.571,283.143,661.143,105.500
53,II,58.019,[ 220  634 1050 1462 1875 2291 2702],93.429,227.667,413.333,827.333,79.429
54,II,53.215,[ 276  692 1104 1576 2049 2541],37.667,,,906.000,128.000
55,II,60.354,[ 421  822 1221 1620 2017 2411 2807],68.000,119.667,241.000,795.333,62.571
56,II,77.073,[ 430  830 1305 1548 1864 2044 2442 2801],39.000,78.000,185.429,677.429,83.500
57,II,107.407,[ 192  416  640  866 1090 1315 1541 1768 1995 2218 2441 2659 2874],71.846,110.167,281.000,447.000,86.462
58,II,65.937,[ 268  636  999 1361 1724 2085 2452 2816],98.500,160.286,194.000,728.000,4.750
59,II,56.504,[ 264  695 1112 1537 1967 2382 2813],88.857,169.000,338.000,849.667,62.000
